order_id,order_date,customer_region,warehouse_id,warehouse_name,carrier_name,product_category,promised_delivery_date,actual_delivery_date,delay_days,shipping_cost,inventory_shortage_flag,urgent_flag,weather,delay_reason
O1001,2025-06-01,関東,W01,東京DC,迅速便,飲料,2025-06-03,2025-06-03,0,1200,0,0,晴れ,なし
O1002,2025-06-01,関西,W01,東京DC,東西物流,家電,2025-06-04,2025-06-06,2,4800,0,0,雨,配送会社遅延
O1003,2025-06-02,九州,W02,名古屋DC,南海配送,食品,2025-06-05,2025-06-08,3,3600,1,0,晴れ,在庫不足
O1004,2025-06-02,中部,W02,名古屋DC,迅速便,日用品,2025-06-04,2025-06-04,0,900,0,0,晴れ,なし
O1005,2025-06-03,北海道,W03,大阪DC,北辰運輸,暖房,2025-06-08,2025-06-10,2,7200,0,0,強風,天候
O1006,2025-06-03,関東,W03,大阪DC,東西物流,アパレル,2025-06-05,2025-06-07,2,2600,0,1,雨,出荷集中
O1007,2025-06-04,関西,W01,東京DC,迅速便,飲料,2025-06-06,2025-06-06,0,1100,0,1,晴れ,なし
O1008,2025-06-04,九州,W02,名古屋DC,南海配送,家電,2025-06-07,2025-06-11,4,5400,1,0,晴れ,在庫不足
O1009,2025-06-05,中部,W02,名古屋DC,東西物流,食品,2025-06-06,2025-06-07,1,1300,0,0,雨,配送会社遅延
O1010,2025-06-05,関東,W01,東京DC,迅速便,日用品,2025-06-06,2025-06-06,0,800,0,0,晴れ,なし
O1011,2025-06-06,北海道,W03,大阪DC,北辰運輸,家電,2025-06-10,2025-06-13,3,6800,0,0,大雨,天候
O1012,2025-06-06,関西,W01,東京DC,東西物流,食品,2025-06-07,2025-06-09,2,1500,0,0,曇り,出荷集中
