production_date,plant_id,plant_name,line_id,product_name,shift,planned_qty,actual_qty,defect_qty,defect_rate,downtime_minutes,maintenance_done_flag,equipment_id,supplier_name,temperature_c,humidity_pct,quality_alert_flag
2025-05-01,P01,千葉工場,L01,モーターA,日勤,1200,1180,18,0.0153,35,0,EQ101,東日本素材,24,55,0
2025-05-01,P01,千葉工場,L02,モーターB,夜勤,1000,910,42,0.0462,95,0,EQ205,北海金属,28,68,1
2025-05-02,P02,名古屋工場,L01,ギアA,日勤,1400,1395,12,0.0086,20,1,EQ110,中部鋼材,23,50,0
2025-05-02,P02,名古屋工場,L03,ギアB,夜勤,1300,1210,38,0.0314,88,0,EQ330,北海金属,29,72,1
2025-05-03,P03,福岡工場,L02,バルブA,日勤,900,880,10,0.0114,25,1,EQ212,西日本部品,25,60,0
2025-05-03,P03,福岡工場,L02,バルブA,夜勤,900,790,35,0.0443,110,0,EQ212,西日本部品,30,75,1
2025-05-04,P01,千葉工場,L01,モーターA,日勤,1250,1238,16,0.0129,18,1,EQ101,東日本素材,22,52,0
2025-05-04,P01,千葉工場,L02,モーターB,夜勤,1000,870,48,0.0552,130,0,EQ205,北海金属,31,78,1
2025-05-05,P02,名古屋工場,L03,ギアB,日勤,1300,1288,14,0.0109,22,1,EQ330,中部鋼材,24,54,0
2025-05-05,P03,福岡工場,L01,バルブB,日勤,950,945,8,0.0085,12,1,EQ118,西日本部品,23,58,0
2025-05-06,P01,千葉工場,L02,モーターB,日勤,1000,980,20,0.0204,30,1,EQ205,北海金属,25,56,0
2025-05-06,P02,名古屋工場,L03,ギアB,夜勤,1300,1180,41,0.0347,92,0,EQ330,北海金属,30,74,1
